,Location,Total Cases,Total Deaths,Total Recovered
17501,Sulawesi Selatan,85048,1379,72571
17502,Sulawesi Tengah,23997,685,16606
17503,Sulawesi Tenggara,16635,370,13125
17504,Sulawesi Utara,24966,732,18978
17505,Sumatera Barat,72573,1529,57630
17506,Sumatera Selatan,47757,2132,35613
17507,Sumatera Utara,62351,1527,41350
17508,Aceh,23571,1008,17300
17509,Bali,79917,2269,64110
17510,Banten,116479,2171,86042
17511,Bengkulu,18773,280,14084
17512,DKI Jakarta,820366,12468,793838
17513,Daerah Istimewa Yogyakarta,122147,3591,81167
17514,Gorontalo,8356,237,6781
17516,Jambi,21166,433,15117
17517,Jawa Barat,614230,9994,501856
17518,Jawa Tengah,395020,20467,315202
17519,Jawa Timur,318693,21671,248378
17520,Kalimantan Barat,26962,675,21179
17521,Kalimantan Selatan,49876,1404,39170
17522,Kalimantan Tengah,35633,924,29651
17523,Kalimantan Timur,121725,3533,96072
17524,Kalimantan Utara,22681,379,16410
17525,Kepulauan Bangka Belitung,34999,739,28274
17526,Kepulauan Riau,46126,1228,39247
17527,Lampung,36418,2209,26920
17528,Maluku,13541,233,10064
17529,Maluku Utara,10144,243,7544
17530,Nusa Tenggara Barat,20357,575,17865
17531,Nusa Tenggara Timur,41009,768,28873
17532,Papua,27720,399,12617
17533,Papua Barat,19109,292,16177
17534,Riau,100869,2709,84215
17535,Sulawesi Barat,8721,181,6867
17536,Sulawesi Selatan,86179,1396,73111
17537,Sulawesi Tengah,24824,701,16914
17538,Sulawesi Tenggara,16890,378,13225
17539,Sulawesi Utara,25330,745,19220
17540,Sumatera Barat,73730,1545,58283
17541,Sumatera Selatan,48481,2157,36107
17542,Sumatera Utara,63785,1541,41888
17543,Aceh,23922,1018,17399
17544,Bali,81279,2306,65185
17545,Banten,117455,2251,88458
17546,Bengkulu,19170,284,14564
17547,DKI Jakarta,823347,12531,796308
17548,Daerah Istimewa Yogyakarta,124009,3635,82292
17549,Gorontalo,8634,241,6932
17551,Jambi,21553,459,15515
17552,Jawa Barat,617979,10123,506315
17553,Jawa Tengah,398936,21004,321181
17554,Jawa Timur,322723,22009,252568
17555,Kalimantan Barat,27643,688,21558
17556,Kalimantan Selatan,50609,1421,39335
17557,Kalimantan Tengah,35898,937,30028
17558,Kalimantan Timur,123947,3616,97792
17559,Kalimantan Utara,23313,400,16721
17560,Kepulauan Bangka Belitung,35856,756,28815
17561,Kepulauan Riau,46629,1228,40065
17562,Lampung,37135,2295,27258
17563,Maluku,13559,233,10157
17564,Maluku Utara,10187,244,7641
17565,Nusa Tenggara Barat,20606,580,18144
17566,Nusa Tenggara Timur,41539,783,29855
17567,Papua,27974,405,12758
17568,Papua Barat,19266,292,16344
17569,Riau,102333,2755,84768
17570,Sulawesi Barat,8890,183,6977
17571,Sulawesi Selatan,87422,1431,73700
17572,Sulawesi Tengah,25489,721,17204
17573,Sulawesi Tenggara,17079,384,13420
17574,Sulawesi Utara,25526,749,19382
17575,Sumatera Barat,74672,1561,58945
17576,Sumatera Selatan,49176,2198,36606
17577,Sumatera Utara,65441,1576,42717
17578,Aceh,24207,1036,17532
17579,Bali,82749,2331,66420
17580,Banten,118419,2268,89229
17581,Bengkulu,19418,289,14906
17582,DKI Jakarta,825659,12657,799067
17583,Daerah Istimewa Yogyakarta,125470,3694,83431
17584,Gorontalo,8862,250,7004
17586,Jambi,21905,471,15848
17587,Jawa Barat,623614,10275,514373
17588,Jawa Tengah,403012,21502,328828
17589,Jawa Timur,326798,22323,257215
17590,Kalimantan Barat,28169,699,21875
17591,Kalimantan Selatan,51485,1467,39644
17592,Kalimantan Tengah,36250,944,30195
17593,Kalimantan Timur,126030,3717,99792
17594,Kalimantan Utara,23912,415,17137
